问题,回答
姓名,李华
年龄,17
性别,女
年级,高三
你擅长的学科有哪些？,数学、化学、生物
你觉得哪些学科比较困难？,物理、英语阅读理解
你的平均成绩大概是多少？,总分540分左右（满分750）
你期望能达到的分数是？,600分以上
你的目标学校是？,复旦大学、上海交通大学医学院
你每天大概花多少时间学习？,课后约4-5小时
你参加了哪些课外活动？,校医学社团、志愿者服务
你的兴趣爱好是什么？,钢琴、看医学纪录片、绘画
你认为自己是什么性格？,认真负责、有些内向、做事细致但有点拖延
你的家人对你的学习态度如何？,非常支持，父母都是医生，希望我也能学医
你的家庭经济状况如何？,良好，家庭收入稳定，可以支持较高教育投入
你对教育辅导产品的看法是？,愿意尝试高质量的辅导，特别是针对弱科的专业辅导
最近学习中遇到的主要困难是？,物理概念理解困难，英语阅读速度慢，时间管理不佳
你平时的学习习惯是怎样的？,喜欢做笔记，但复习不够系统，常熬夜学习
你现在有参加校外补习班吗？,有，参加物理和英语的辅导班，每周各2小时
你最希望提高的能力是什么？,解决物理问题的思路，英语阅读理解能力，以及时间规划能力
你对未来的职业规划是什么？,希望成为医生，尤其对神经科学或儿科感兴趣
你学习的动力主要来自哪里？,兴趣和家庭期望，也想帮助更多人
面对挫折时你通常如何应对？,会感到沮丧，但通常会寻求家人和老师的帮助
你更喜欢什么样的学习方式？,喜欢系统的讲解和大量练习，也喜欢有图表的直观解释
考试前你会感到紧张吗？,会非常紧张，常失眠，有时会影响发挥
你认为自己的记忆力如何？,记忆力较好，但需要反复巩固
你如何看待小组合作学习？,喜欢小组讨论但不太善于表达自己的观点
你能接受多大强度的学习计划？,可以接受高强度学习，但需要有明确的休息时间
你在做决定时通常是依靠直觉还是逻辑分析？,通常依靠逻辑分析，会列出利弊再做决定
你愿意为提高成绩投入多少预算？,家庭愿意支持必要的教育投入，一对一辅导每月5000元左右可接受
你是否曾使用过在线学习平台？如果有，是哪些？,使用过学而思网校和猿辅导，觉得对系统学习有帮助 
